"California Department of Education
Analysis, Measurement, and Accountability Reporting Division",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
New 05-Sept-2013,,,,,,,,,,,,,,
SAT Data File for 2011–12,,,,,,,,,,,,,,
"County
Number","District
Number","School
Number",County Name,District Name,School Name,"Grade
12","Number
Tested","Percent
Tested",V_Mean,M_Mean,W_Mean,Tot_Mean,GE1500Ct,Rate1500
19,64519,1930320,Los Angeles,El Monte Union High,Arroyo High,488,225,46.11,466,505,465,1437,83,36.89
19,64519,1932664,Los Angeles,El Monte Union High,El Monte High,446,193,43.27,445,484,462,1390,67,34.72
19,64519,1932680,Los Angeles,El Monte Union High,Mountain View High,427,150,35.13,416,457,430,1302,26,17.33
19,64519,1937481,Los Angeles,El Monte Union High,Rosemead High,493,266,53.96,467,509,466,1441,113,42.48
19,64519,1938919,Los Angeles,El Monte Union High,Fernando R. Ledesma Continuation High,284,,,,,,,,
19,64519,1995661,Los Angeles,El Monte Union High,South El Monte High,350,134,38.29,440,456,436,1332,32,23.88
19,64519,1996123,Los Angeles,El Monte Union High,El Monte Union High School Community Day,22,,,,,,,,
19,64527,0118547,Los Angeles,El Rancho Unified,Eugene A. Obregon,5,,,,,,,,
19,64527,1932698,Los Angeles,El Rancho Unified,Ruben Salazar Continuation,161,,,,,,,,
19,64527,1932706,Los Angeles,El Rancho Unified,El Rancho High,728,367,50.41,433,463,437,1333,85,23.16
19,64535,1930353,Los Angeles,El Segundo Unified,Arena High (Continuation),13,,,,,,,,
19,64535,1932763,Los Angeles,El Segundo Unified,El Segundo High,294,208,70.75,535,546,528,1609,129,62.02
19,64568,1932144,Los Angeles,Glendale Unified,Crescenta Valley High,709,489,68.97,543,595,557,1695,366,74.85
19,64568,1933472,Los Angeles,Glendale Unified,Daily (Allan F.) High (Continuation),198,2,1.01,,,,,,
19,64568,1933530,Los Angeles,Glendale Unified,Glendale High,716,287,40.08,501,546,513,1560,160,55.75
19,64568,1934082,Los Angeles,Glendale Unified,Herbert Hoover High,459,151,32.9,501,552,525,1578,90,59.6
19,64568,1995497,Los Angeles,Glendale Unified,Verdugo Academy,28,7,25,,,,,,
19,64568,1996131,Los Angeles,Glendale Unified,Anderson W. Clark Magnet High,254,175,68.9,494,548,521,1563,105,60
19,64568,6099022,Los Angeles,Glendale Unified,College View,65,,,,,,,,
19,64576,1933597,Los Angeles,Glendora Unified,Glendora High,605,338,55.87,523,549,509,1581,203,60.06
19,64576,1939677,Los Angeles,Glendora Unified,Whitcomb Continuation High,54,,,,,,,,
19,64584,1996305,Los Angeles,Gorman Elementary,Gorman Learning Center,170,27,15.88,532,515,518,1564,14,51.85
19,64592,0100354,Los Angeles,Hawthorne,Hawthorne Math and Science Academy,140,141,100.71,462,490,477,1428,59,41.84
19,64600,0120543,Los Angeles,Hermosa Beach City Elementary,Opportunities for Learning - Hermosa Beach,165,8,4.85,,,,,,
19,64600,0120550,Los Angeles,Hermosa Beach City Elementary,"Options for Youth-Hermosa Beach, Inc.",58,2,3.45,,,,,,
19,64634,1934231,Los Angeles,Inglewood Unified,Inglewood High,342,185,54.09,374,368,376,1118,6,3.24
19,64634,1934249,Los Angeles,Inglewood Unified,Hillcrest High,109,4,3.67,,,,,,
19,64634,1936046,Los Angeles,Inglewood Unified,Morningside High,272,101,37.13,386,379,385,1150,3,2.97
19,64634,1996529,Los Angeles,Inglewood Unified,City Honors College Preparatory Charter,97,92,94.85,445,445,446,1336,22,23.91
19,64634,1996586,Los Angeles,Inglewood Unified,Animo Inglewood Charter High,139,100,71.94,419,415,434,1268,12,12
19,64659,1934611,Los Angeles,La Canada Unified,La Canada High,328,262,79.88,590,619,602,1811,225,85.88
19,64683,1930080,Los Angeles,Las Virgenes Unified,Agoura High,538,317,58.92,560,578,574,1712,244,76.97
19,64683,1931260,Los Angeles,Las Virgenes Unified,Indian Hills Continuation High,25,,,,,,,,
19,64683,1931781,Los Angeles,Las Virgenes Unified,Calabasas High,441,302,68.48,558,575,570,1704,231,76.49
19,64691,1996438,Los Angeles,Lawndale Elementary,Environmental Charter High,81,82,101.23,437,446,455,1339,20,24.39
19,64709,0100602,Los Angeles,Lennox,"Lennox Mathematics, Science and Technology Academy",122,112,91.8,415,438,432,1285,18,16.07
19,64709,1996313,Los Angeles,Lennox,Animo Leadership High,136,141,103.68,398,418,435,1250,20,14.18
19,64725,0101741,Los Angeles,Long Beach Unified,Select Community Day (Secondary),2,,,,,,,,
19,64725,0115378,Los Angeles,Long Beach Unified,Rosie the Riveter Charter High,10,,,,,,,,
19,64725,0118471,Los Angeles,Long Beach Unified,Colegio New City,13,14,107.69,349,349,339,1037,0,0
19,64725,0125153,Los Angeles,Long Beach Unified,Beach High-Intensive Learning Program,66,,,,,,,,
19,64725,1930411,Los Angeles,Long Beach Unified,Avalon K-12,53,27,50.94,450,466,474,1390,9,33.33
19,64725,1934470,Los Angeles,Long Beach Unified,Jordan High,758,190,25.07,400,412,398,1209,17,8.95
19,64725,1934678,Los Angeles,Long Beach Unified,Lakewood High,966,421,43.58,474,497,463,1434,166,39.43
19,64725,1935758,Los Angeles,Long Beach Unified,Millikan High,893,405,45.35,471,470,466,1407,139,34.32
19,64725,1936947,Los Angeles,Long Beach Unified,Polytechnic High,1148,613,53.4,493,513,487,1493,284,46.33
19,64725,1937176,Los Angeles,Long Beach Unified,Reid High,263,,,,,,,,
19,64725,1939875,Los Angeles,Long Beach Unified,Wilson High,971,478,49.23,492,496,486,1474,223,46.65
19,64725,1995539,Los Angeles,Long Beach Unified,California Academy of Mathematics and Science,152,142,93.42,568,618,571,1757,127,89.44
19,64725,1995570,Los Angeles,Long Beach Unified,Educational Partnership High,698,1,0.14,,,,,,
19,64725,1995935,Los Angeles,Long Beach Unified,Cabrillo High,670,190,28.36,396,407,391,1194,16,8.42
19,64725,1996503,Los Angeles,Long Beach Unified,Renaissance High School for the Arts,109,38,34.86,482,444,478,1403,11,28.95
19,64733,0100677,Los Angeles,Los Angeles Unified,High Tech LA,84,73,86.9,507,539,496,1541,46,63.01
19,64733,0100750,Los Angeles,Los Angeles Unified,Wallis Annenberg High,106,101,95.28,400,431,449,1279,19,18.81
19,64733,0100776,Los Angeles,Los Angeles Unified,North Valley Charter Academy,37,10,27.03,,,,,,
19,64733,0100800,Los Angeles,Los Angeles Unified,Central City Value,72,47,65.28,397,386,405,1188,5,10.64
19,64733,0101196,Los Angeles,Los Angeles Unified,View Park Preparatory Accelerated High,97,93,95.88,412,405,407,1224,11,11.83
19,64733,0101329,Los Angeles,Los Angeles Unified,William J. Johnston Community Day,11,,,,,,,,
19,64733,0101659,Los Angeles,Los Angeles Unified,Crenshaw Arts-Technology Charter High,51,44,86.27,419,375,405,1199,10,22.73
19,64733,0101675,Los Angeles,Los Angeles Unified,Animo Oscar De La Hoya Charter High,142,132,92.96,371,377,381,1129,8,6.06
19,64733,0101683,Los Angeles,Los Angeles Unified,Renaissance Arts Academy,15,12,80,475,482,433,1391,5,41.67
19,64733,0102137,Los Angeles,Los Angeles Unified,Aggeler Community Day,3,,,,,,,,
19,64733,0102434,Los Angeles,Los Angeles Unified,Animo South Los Angeles Charter,126,109,86.51,399,388,393,1180,9,8.26
19,64733,0102541,Los Angeles,Los Angeles Unified,New Designs Charter,68,41,60.29,383,388,393,1164,1,2.44
19,64733,0102764,Los Angeles,Los Angeles Unified,Richard A. Alonzo Community Day,54,,,,,,,,
19,64733,0102913,Los Angeles,Los Angeles Unified,Middle College High,102,90,88.24,439,428,442,1309,13,14.44
19,64733,0102921,Los Angeles,Los Angeles Unified,Harbor Teacher Preparation Academy,94,93,98.94,520,539,514,1572,60,64.52
19,64733,0106351,Los Angeles,Los Angeles Unified,Ivy Academia,38,29,76.32,478,457,490,1425,14,48.28
19,64733,0106435,Los Angeles,Los Angeles Unified,Camino Nuevo Charter High,117,109,93.16,398,408,411,1218,13,11.93
19,64733,0106831,Los Angeles,Los Angeles Unified,Animo Venice Charter High,92,94,102.17,407,433,424,1264,16,17.02
19,64733,0106849,Los Angeles,Los Angeles Unified,Animo Pat Brown,128,74,57.81,396,442,424,1262,6,8.11
19,64733,0106864,Los Angeles,Los Angeles Unified,Alliance Gertz-Ressler High,123,120,97.56,417,435,426,1278,19,15.83
19,64733,0106997,Los Angeles,Los Angeles Unified,Orthopaedic Hospital,158,128,81.01,411,424,417,1252,18,14.06
19,64733,0107003,Los Angeles,Los Angeles Unified,Northridge Academy High,188,139,73.94,447,447,444,1338,32,23.02
19,64733,0107011,Los Angeles,Los Angeles Unified,International Studies Learning Center,97,57,58.76,427,421,435,1284,10,17.54
19,64733,0107755,Los Angeles,Los Angeles Unified,Port of Los Angeles High,219,122,55.71,473,477,464,1414,46,37.7
19,64733,0108878,Los Angeles,Los Angeles Unified,CHAMPS - Charter HS of Arts-Multimedia & Performing,172,116,67.44,514,501,531,1546,66,56.9
19,64733,0108894,Los Angeles,Los Angeles Unified,Alliance Judy Ivie Burton Technology Academy High,138,125,90.58,375,401,390,1166,10,8
19,64733,0108936,Los Angeles,Los Angeles Unified,Alliance Huntington Park College-Ready Academy High,125,129,103.2,357,403,365,1125,7,5.43
19,64733,0109322,Los Angeles,Los Angeles Unified,Pacific Boulevard,12,,,,,,,,
19,64733,0109447,Los Angeles,Los Angeles Unified,Santee Education Complex,592,197,33.28,384,389,385,1158,15,7.61
19,64733,0109454,Los Angeles,Los Angeles Unified,South East High,592,310,52.36,419,409,431,1258,51,16.45
19,64733,0109462,Los Angeles,Los Angeles Unified,Maywood Academy High,223,125,56.05,408,428,427,1262,21,16.8
19,64733,0109512,Los Angeles,Los Angeles Unified,Cal Burke High,82,1,1.22,,,,,,
19,64733,0109553,Los Angeles,Los Angeles Unified,CA Academy for Liberal Studies Early College High,63,68,107.94,418,441,436,1296,12,17.65
19,64733,0109876,Los Angeles,Los Angeles Unified,Community Charter Early College High,101,97,96.04,385,414,411,1209,9,9.28
19,64733,0110304,Los Angeles,Los Angeles Unified,Los Angeles Academy of Arts & Enterprise Charter,21,13,61.9,392,365,383,1140,1,7.69
19,64733,0110668,Los Angeles,Los Angeles Unified,Frida Kahlo High,61,9,14.75,,,,,,
19,64733,0111484,Los Angeles,Los Angeles Unified,New Village Charter High,23,12,52.17,349,338,361,1048,1,8.33
19,64733,0111492,Los Angeles,Los Angeles Unified,Alliance College-Ready Academy High No. 5,162,145,89.51,335,358,363,1056,1,0.69
19,64733,0111500,Los Angeles,Los Angeles Unified,Alliance Dr. Olga Mohan High,98,101,103.06,385,448,417,1250,12,11.88
19,64733,0111575,Los Angeles,Los Angeles Unified,Animo Ralph Bunche High,170,111,65.29,357,373,386,1117,4,3.6
19,64733,0111583,Los Angeles,Los Angeles Unified,Animo Jackie Robinson High,126,87,69.05,379,379,392,1150,4,4.6
19,64733,0111617,Los Angeles,Los Angeles Unified,Animo Locke Technology High,124,63,50.81,372,379,377,1129,1,1.59
19,64733,0111625,Los Angeles,Los Angeles Unified,Animo Watts College Preparatory Academy,123,72,58.54,360,368,364,1092,2,2.78
19,64733,0111641,Los Angeles,Los Angeles Unified,Alliance William and Carol Ouchi Academy High,102,92,90.2,388,395,405,1187,6,6.52
19,64733,0111658,Los Angeles,Los Angeles Unified,Alliance Marc & Eva Stern Math and Science,137,126,91.97,405,417,425,1248,20,15.87
19,64733,0112029,Los Angeles,Los Angeles Unified,Miguel Contreras Learning Complex,161,171,106.21,372,385,377,1134,10,5.85
19,64733,0112037,Los Angeles,Los Angeles Unified,East Valley Senior High,189,77,40.74,406,404,412,1222,11,14.29
19,64733,0112045,Los Angeles,Los Angeles Unified,Arleta High,361,181,50.14,397,405,405,1207,16,8.84
19,64733,0112052,Los Angeles,Los Angeles Unified,Panorama High,300,141,47,403,420,404,1226,19,13.48
19,64733,0112508,Los Angeles,Los Angeles Unified,Bright Star Secondary Charter Academy,16,41,256.25,453,492,482,1427,13,31.71
19,64733,0112540,Los Angeles,Los Angeles Unified,Lou Dantzler Preparatory Charter High,97,67,69.07,382,380,388,1150,3,4.48
19,64733,0112557,Los Angeles,Los Angeles Unified,Frederick Douglass Academy High,74,53,71.62,375,358,384,1117,2,3.77
19,64733,0112862,Los Angeles,Los Angeles Unified,Student Empowerment Academy,90,,,,,,,,
19,64733,0112870,Los Angeles,Los Angeles Unified,Los Angeles School of Global Studies,91,73,80.22,385,389,385,1159,2,2.74
19,64733,0114850,Los Angeles,Los Angeles Unified,West Adams Preparatory High,582,287,49.31,381,393,391,1165,16,5.57
19,64733,0114942,Los Angeles,Los Angeles Unified,Alliance College-Ready Academy High No. 7,80,66,82.5,330,341,359,1030,0,0
19,64733,0115253,Los Angeles,Los Angeles Unified,Discovery Charter Preparatory No. 2,84,79,94.05,373,374,383,1130,6,7.59
19,64733,0116954,Los Angeles,Los Angeles Unified,Jack London Community Day,3,,,,,,,,
19,64733,0117051,Los Angeles,Los Angeles Unified,Edward R. Roybal Learning Center,252,136,53.97,393,406,400,1199,13,9.56
19,64733,0117069,Los Angeles,Los Angeles Unified,Helen Bernstein High,245,116,47.35,394,405,398,1198,13,11.21
19,64733,0117077,Los Angeles,Los Angeles Unified,APEX Academy,83,52,62.65,339,326,338,1002,0,0
19,64733,0117721,Los Angeles,Los Angeles Unified,Academic Leadership Community,70,69,98.57,387,414,403,1204,8,11.59
19,64733,0117739,Los Angeles,Los Angeles Unified,CIVITAS School of Leadership,54,53,98.15,373,377,376,1126,2,3.77
19,64733,0117747,Los Angeles,Los Angeles Unified,Los Angeles High School of the Arts (LAHSA),79,22,27.85,420,434,435,1289,4,18.18
19,64733,0117754,Los Angeles,Los Angeles Unified,Los Angeles Teachers Preparatory Academy,55,43,78.18,323,351,328,1001,0,0
19,64733,0117762,Los Angeles,Los Angeles Unified,School for the Visual Arts and Humanities,88,66,75,365,374,366,1105,4,6.06
19,64733,0117911,Los Angeles,Los Angeles Unified,New Millennium Secondary,106,97,91.51,416,403,412,1231,11,11.34
19,64733,0118158,Los Angeles,Los Angeles Unified,Anahuacalmecac International University Preparatory Hig,34,24,70.59,403,410,429,1242,2,8.33
19,64733,0118588,Los Angeles,Los Angeles Unified,Animo Locke 1 College Preparatory Academy,283,113,39.93,339,345,348,1033,1,0.88
19,64733,0118596,Los Angeles,Los Angeles Unified,Animo Locke II College Preparatory Academy,148,70,47.3,365,368,371,1104,3,4.29
19,64733,0119651,Los Angeles,Los Angeles Unified,Sun Valley High,165,62,37.58,400,422,411,1233,6,9.68
19,64733,0119685,Los Angeles,Los Angeles Unified,New Open World Academy,35,29,82.86,400,432,394,1226,4,13.79
19,64733,0119693,Los Angeles,Los Angeles Unified,UCLA Community,76,45,59.21,405,429,403,1237,6,13.33
19,64733,0119719,Los Angeles,Los Angeles Unified,School of Engineering and Technology,67,49,73.13,402,388,390,1180,5,10.2
19,64733,0119727,Los Angeles,Los Angeles Unified,Ramon C. Cortines School of Visual and Performing Arts,239,144,60.25,464,447,462,1373,47,32.64
19,64733,0119966,Los Angeles,Los Angeles Unified,School of Math and Science,51,39,76.47,379,382,406,1167,5,12.82
19,64733,0120360,Los Angeles,Los Angeles Unified,Daniel Pearl Journalism & Communications Magnet,53,49,92.45,458,457,455,1370,13,26.53
19,64733,0120808,Los Angeles,Los Angeles Unified,Dorothy V. Johnson Community Day,3,,,,,,,,
19,64733,0121095,Los Angeles,Los Angeles Unified,Ambassador School of Global Leadership,36,32,88.89,381,392,379,1152,3,9.38
19,64733,0122275,Los Angeles,Los Angeles Unified,Academy of Environmental & Social Policy (ESP) at Roose,60,43,71.67,367,350,370,1087,2,4.65
19,64733,0122283,Los Angeles,Los Angeles Unified,School of Law & Government at Roosevelt High,75,47,62.67,393,390,386,1169,3,6.38
19,64733,0122291,Los Angeles,Los Angeles Unified,Humanitas Art School at Roosevelt High,86,38,44.19,401,397,403,1200,2,5.26
19,64733,0122309,Los Angeles,Los Angeles Unified,"School of Science, Technology, Engineering & Math (STEM",64,40,62.5,415,434,398,1246,6,15
19,64733,0122325,Los Angeles,Los Angeles Unified,Academy of Medical & Health Sciences at Roosevelt High,93,55,59.14,388,402,392,1181,5,9.09
19,64733,0122333,Los Angeles,Los Angeles Unified,"Math, Science, & Technology Magnet Academy at Roosevelt",72,62,86.11,410,431,418,1259,8,12.9
19,64733,0122341,Los Angeles,Los Angeles Unified,East Los Angeles Performing Arts Academy at Esteban E.,87,56,64.37,380,367,385,1133,2,3.57
19,64733,0122358,Los Angeles,Los Angeles Unified,Humanitas Academy of Art and Technology at Esteban E. T,53,41,77.36,404,395,408,1207,7,17.07
19,64733,0122366,Los Angeles,Los Angeles Unified,Social Justice Leadership Academy at Esteban E. Torres,93,59,63.44,342,348,358,1048,1,1.69
19,64733,0122374,Los Angeles,Los Angeles Unified,East Los Angeles Renaissance Academy at Esteban E. Torr,60,40,66.67,418,432,419,1269,9,22.5
19,64733,0122382,Los Angeles,Los Angeles Unified,Engineering and Technology Academy at Esteban E. Torres,66,41,62.12,393,404,394,1192,2,4.88
19,64733,0122762,Los Angeles,Los Angeles Unified,Los Angeles Big Picture High,25,21,84,398,388,416,1201,2,9.52
19,64733,0124388,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Social Justice Human,103,66,64.08,397,393,412,1202,7,10.61
19,64733,0124883,Los Angeles,Los Angeles Unified,Animo College Preparatory Academy,1,,,,,,,,
19,64733,1930064,Los Angeles,Los Angeles Unified,William Tell Aggeler Opportunity High,13,2,15.38,,,,,,
19,64733,1930296,Los Angeles,Los Angeles Unified,Harris Newmark Continuation,4,1,25,,,,,,
19,64733,1930387,Los Angeles,Los Angeles Unified,Central High,123,,,,,,,,
19,64733,1930403,Los Angeles,Los Angeles Unified,Whitney Young Continuation,12,,,,,,,,
19,64733,1930429,Los Angeles,Los Angeles Unified,View Park Continuation,28,1,3.57,,,,,,
19,64733,1930486,Los Angeles,Los Angeles Unified,Moneta Continuation,5,1,20,,,,,,
19,64733,1930551,Los Angeles,Los Angeles Unified,San Antonio Continuation,53,,,,,,,,
19,64733,1930577,Los Angeles,Los Angeles Unified,Pueblo de Los Angeles Continuation,22,,,,,,,,
19,64733,1930619,Los Angeles,Los Angeles Unified,Harold McAlister High (Opportunity),34,1,2.94,,,,,,
19,64733,1930650,Los Angeles,Los Angeles Unified,Phineas Banning Senior High,508,306,60.24,400,422,409,1231,28,9.15
19,64733,1930692,Los Angeles,Los Angeles Unified,Thomas Riley High,30,4,13.33,,,,,,
19,64733,1930734,Los Angeles,Los Angeles Unified,Angel's Gate (Continuation),9,,,,,,,,
19,64733,1930783,Los Angeles,Los Angeles Unified,Phoenix Continuation,26,,,,,,,,
19,64733,1930791,Los Angeles,Los Angeles Unified,Mt. Lukens Continuation,28,,,,,,,,
19,64733,1930866,Los Angeles,Los Angeles Unified,Bell Senior High,793,382,48.17,412,429,419,1260,56,14.66
19,64733,1930924,Los Angeles,Los Angeles Unified,Belmont Senior High,248,141,56.85,389,420,401,1211,16,11.35
19,64733,1930940,Los Angeles,Los Angeles Unified,John R. Wooden High,50,1,2,,,,,,
19,64733,1930973,Los Angeles,Los Angeles Unified,Simon Rodia Continuation,8,,,,,,,,
19,64733,1931047,Los Angeles,Los Angeles Unified,Birmingham Community Charter High,673,282,41.9,420,424,435,1280,51,18.09
19,64733,1931336,Los Angeles,Los Angeles Unified,Cheviot Hills Continuation,13,,,,,,,,
19,64733,1931377,Los Angeles,Los Angeles Unified,Amelia Earhart Continuation,65,,,,,,,,
19,64733,1931385,Los Angeles,Los Angeles Unified,Albert Einstein Continuation,30,,,,,,,,
19,64733,1931393,Los Angeles,Los Angeles Unified,Highland Park Continuation,11,,,,,,,,
19,64733,1931419,Los Angeles,Los Angeles Unified,Miguel Leonis Continuation,23,,,,,,,,
19,64733,1931435,Los Angeles,Los Angeles Unified,Robert H. Lewis Continuation,36,,,,,,,,
19,64733,1931450,Los Angeles,Los Angeles Unified,Jack London Continuation,24,1,4.17,,,,,,
19,64733,1931468,Los Angeles,Los Angeles Unified,Metropolitan Continuation,56,1,1.79,,,,,,
19,64733,1931476,Los Angeles,Los Angeles Unified,Canoga Park Senior High,317,155,48.9,421,436,415,1272,24,15.48
19,64733,1931484,Los Angeles,Los Angeles Unified,Mission Continuation,37,2,5.41,,,,,,
19,64733,1931500,Los Angeles,Los Angeles Unified,Owensmouth Continuation,32,,,,,,,,
19,64733,1931518,Los Angeles,Los Angeles Unified,George S. Patton Continuation,10,,,,,,,,
19,64733,1931526,Los Angeles,Los Angeles Unified,Carson Senior High,527,333,63.19,414,421,424,1259,42,12.61
19,64733,1931534,Los Angeles,Los Angeles Unified,Will Rogers Continuation,70,,,,,,,,
19,64733,1931559,Los Angeles,Los Angeles Unified,Stoney Point Continuation,65,,,,,,,,
19,64733,1931633,Los Angeles,Los Angeles Unified,Diane S. Leichman Special Education Center,156,,,,,,,,
19,64733,1931658,Los Angeles,Los Angeles Unified,Frank Lanterman,132,,,,,,,,
19,64733,1931682,Los Angeles,Los Angeles Unified,Zane Grey Continuation,53,,,,,,,,
19,64733,1931690,Los Angeles,Los Angeles Unified,Independence Continuation,16,,,,,,,,
19,64733,1931708,Los Angeles,Los Angeles Unified,Chatsworth Senior High,739,354,47.9,464,485,462,1411,114,32.2
19,64733,1931716,Los Angeles,Los Angeles Unified,Valley Alternative Magnet,38,30,78.95,455,480,462,1398,9,30
19,64733,1931856,Los Angeles,Los Angeles Unified,Whitman Continuation,6,,,,,,,,
19,64733,1931864,Los Angeles,Los Angeles Unified,Grover Cleveland High,778,466,59.9,498,501,502,1501,234,50.21
19,64733,1931930,Los Angeles,Los Angeles Unified,Avalon High,80,,,,,,,,
19,64733,1931955,Los Angeles,Los Angeles Unified,Ellington (Duke) High (Continuation),28,1,3.57,,,,,,
19,64733,1931971,Los Angeles,Los Angeles Unified,John Hope Continuation,27,1,3.7,,,,,,
19,64733,1931989,Los Angeles,Los Angeles Unified,Monterey Continuation,40,,,,,,,,
19,64733,1931997,Los Angeles,Los Angeles Unified,Odyssey Continuation,26,,,,,,,,
19,64733,1932128,Los Angeles,Los Angeles Unified,Crenshaw Senior High,375,186,49.6,386,387,380,1152,12,6.45
19,64733,1932250,Los Angeles,Los Angeles Unified,Henry David Thoreau Continuation,25,,,,,,,,
19,64733,1932318,Los Angeles,Los Angeles Unified,Eagle Tree Continuation,50,,,,,,,,
19,64733,1932334,Los Angeles,Los Angeles Unified,Jane Addams Continuation,42,,,,,,,,
19,64733,1932342,Los Angeles,Los Angeles Unified,Evergreen Continuation,21,1,4.76,,,,,,
19,64733,1932383,Los Angeles,Los Angeles Unified,Susan Miller Dorsey Senior High,357,157,43.98,380,374,387,1141,7,4.46
19,64733,1932391,Los Angeles,Los Angeles Unified,West Hollywood Opportunity,30,,,,,,,,
19,64733,1932540,Los Angeles,Los Angeles Unified,Eagle Rock High,548,361,65.88,458,455,453,1366,108,29.92
19,64733,1932623,Los Angeles,Los Angeles Unified,El Camino Real Charter High,762,464,60.89,515,536,520,1572,276,59.48
19,64733,1932821,Los Angeles,Los Angeles Unified,Boyle Heights Continuation,45,,,,,,,,
19,64733,1932847,Los Angeles,Los Angeles Unified,Los Angeles Center for Enriched Studies,212,202,95.28,539,558,550,1647,132,65.35
19,64733,1932888,Los Angeles,Los Angeles Unified,Downtown Business High,176,143,81.25,437,454,443,1334,38,26.57
19,64733,1932920,Los Angeles,Los Angeles Unified,Fairfax Senior High,457,321,70.24,456,474,456,1386,102,31.78
19,64733,1932987,Los Angeles,Los Angeles Unified,John H. Francis Polytechnic,745,335,44.97,416,434,425,1275,52,15.52
19,64733,1933001,Los Angeles,Los Angeles Unified,King/Drew Medical Magnet High,271,240,88.56,428,430,436,1294,44,18.33
19,64733,1933043,Los Angeles,Los Angeles Unified,Benjamin Franklin Senior High,293,170,58.02,423,438,429,1291,29,17.06
19,64733,1933118,Los Angeles,Los Angeles Unified,John C. Fremont Senior High,785,337,42.93,381,381,379,1141,12,3.56
19,64733,1933233,Los Angeles,Los Angeles Unified,Sherman Oaks Center for Enriched Studies,200,153,76.5,514,531,524,1568,87,56.86
19,64733,1933241,Los Angeles,Los Angeles Unified,Gardena Senior High,378,201,53.17,408,414,410,1232,26,12.94
19,64733,1933381,Los Angeles,Los Angeles Unified,James A. Garfield Senior High,522,320,61.3,393,412,394,1199,36,11.25
19,64733,1933746,Los Angeles,Los Angeles Unified,Granada Hills Charter High,855,671,78.48,541,568,547,1657,463,69
19,64733,1933795,Los Angeles,Los Angeles Unified,Ulysses S. Grant Senior High,476,193,40.55,425,446,439,1309,36,18.65
19,64733,1933852,Los Angeles,Los Angeles Unified,Alexander Hamilton Senior High,628,377,60.03,481,467,486,1434,148,39.26
19,64733,1934033,Los Angeles,Los Angeles Unified,Hollywood Senior High,274,151,55.11,449,437,445,1331,40,26.49
19,64733,1934157,Los Angeles,Los Angeles Unified,Huntington Park Senior High,739,341,46.14,388,401,395,1185,30,8.8
19,64733,1934371,Los Angeles,Los Angeles Unified,Thomas Jefferson Senior High,413,230,55.69,374,377,369,1120,8,3.48
19,64733,1934454,Los Angeles,Los Angeles Unified,David Starr Jordan Senior High,282,93,32.98,372,371,373,1116,5,5.38
19,64733,1935121,Los Angeles,Los Angeles Unified,Abraham Lincoln Senior High,456,283,62.06,415,433,409,1256,59,20.85
19,64733,1935154,Los Angeles,Los Angeles Unified,Alain Leroy Locke 3 College Preparatory Academy,135,60,44.44,360,381,367,1107,2,3.33
19,64733,1935352,Los Angeles,Los Angeles Unified,Los Angeles Senior High,355,169,47.61,418,454,426,1298,36,21.3
19,64733,1935519,Los Angeles,Los Angeles Unified,Manual Arts Senior High,695,308,44.32,385,387,395,1167,35,11.36
19,64733,1935568,Los Angeles,Los Angeles Unified,John Marshall Senior High,678,324,47.79,474,493,472,1439,126,38.89
19,64733,1935717,Los Angeles,Los Angeles Unified,Joaquin Miller Career and Transition Center,159,,,,,,,,
19,64733,1935865,Los Angeles,Los Angeles Unified,James Monroe High,615,227,36.91,427,440,429,1295,40,17.62
19,64733,1936160,Los Angeles,Los Angeles Unified,Nathaniel Narbonne Senior High,533,286,53.66,436,442,439,1316,58,20.28
19,64733,1936350,Los Angeles,Los Angeles Unified,North Hollywood Senior High,682,354,51.91,496,497,502,1494,151,42.66
19,64733,1937085,Los Angeles,Los Angeles Unified,Ramona Opportunity High,14,,,,,,,,
19,64733,1937226,Los Angeles,Los Angeles Unified,Reseda Senior High,523,241,46.08,449,464,451,1364,64,26.56
19,64733,1937424,Los Angeles,Los Angeles Unified,"School of Communications, New Media and Technology at R",70,64,91.43,403,413,413,1229,7,10.94
19,64733,1937622,Los Angeles,Los Angeles Unified,San Fernando Senior High,573,273,47.64,411,429,415,1256,40,14.65
19,64733,1937838,Los Angeles,Los Angeles Unified,San Pedro Senior High,515,261,50.68,466,468,472,1405,89,34.1
19,64733,1938307,Los Angeles,Los Angeles Unified,South Gate Senior High,766,408,53.26,399,410,404,1213,48,11.76
19,64733,1938554,Los Angeles,Los Angeles Unified,Sylmar Senior High,759,346,45.59,398,402,402,1201,41,11.85
19,64733,1938612,Los Angeles,Los Angeles Unified,William Howard Taft Senior High,557,283,50.81,499,518,509,1527,145,51.24
19,64733,1938885,Los Angeles,Los Angeles Unified,University Senior High,570,272,47.72,439,440,441,1320,67,24.63
19,64733,1938968,Los Angeles,Los Angeles Unified,Van Nuys Senior High,564,305,54.08,514,535,521,1570,167,54.75
19,64733,1939040,Los Angeles,Los Angeles Unified,Venice Senior High,429,232,54.08,488,508,487,1483,106,45.69
